filename,videoname,videobitrate,width,height,duration,framerate,streamsize,compressedvideobitrate,compressedvideostreamsize,compressionduration
20170825_100649_faster_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,5846.0,41779.2,106
20170825_100649_faster_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,3749.0,26828.8,98
20170825_100649_fast_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,5914.0,42291.2,131
20170825_100649_fast_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,3829.0,27340.8,182
20170825_100649_medium_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,6725.0,48025.6,178
20170825_100649_medium_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4340.0,31027.2,227
20170825_100649_placebo_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4939.0,35328.0,7396
20170825_100649_slower_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,7522.0,53760.0,1440
20170825_100649_slower_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4831.0,34508.8,1363
20170825_100649_slow_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,7269.0,51916.8,474
20170825_100649_slow_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4639.0,33177.6,625
20170825_100649_superfast_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,7884.0,56320.0,97
20170825_100649_superfast_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,5101.0,36454.4,74
20170825_100649_ultrafast_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,7102.0,50790.4,55
20170825_100649_ultrafast_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4518.0,32256.0,56
20170825_100649_veryfast_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,5853.0,41881.6,97
20170825_100649_veryfast_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,3750.0,26828.8,90
20170825_100649_veryslow_25_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,7503.0,53657.6,2359
20170825_100649_veryslow_staxrip.log,E\N.I.B.B.A.S\20170825_100649.mp4,17408.0,1920,1080,58,30.041,121856.0,4810.0,34406.4,1767
